"SimID","Date","DAP","vstage","rstage","PG","stresstl","greenfrac","aroot","aleaf","astem","arepr","cbiol","cbiog","cbioc","cbiop","cbios","cbior","plai","peaklai","aerial","aybprod","ayabprod","ayrprod","aylprod","biomass","ayanpp","cumPh","xn","gdd8","gdd10","sumgdd8","pla","leafwb","tlno","P3","root","leaf","stem","grain","Source","L.SD","GSTD","TURFAC","SWFAC","NSTRES","CWAD","GWAD","LWAD","SWAD","RWAD","LAID"
"USNEME_Irrigated_2003",2003-05-27,14,2,0,24.1813824420018,0.999972906462995,1,0.5,0.5,0,0,0.0150674613131153,0,0,0,0,0.00903530974362052,0.602698452524614,0.602698452524614,0,0.0180804420309374,0.00897830169344492,0.00910214033749244,0.00872526889547611,0.0241027710567359,0.0184773448851096,2.59837423116877,3.59837423116877,48.0600000000003,66.5432388280007,0,15.029571595437,0.0377553813513672,8.47095115681235,299.66,2.89593261013478,0.0252662226532809,0,0,"ECOSMOS",2,0,1,1,1,2.52662226532809,0,2.52662226532809,0,289.593261013478,0.602698452524614
"USNEME_Irrigated_2003",2003-05-28,15,2,0,30.2680378878206,0.999955145686486,1,0.5,0.5,0,0,0.0188346699138974,0,0,0,0,0.0129045752671632,0.753386796555896,0.753386796555896,0,0.0258560684601901,0.0128394860504369,0.0130165824097532,0.0124776346457112,0.0317392451810606,0.0264236622917991,3.03804312493829,4.03804312493829,62.3700000000003,78.8532388280007,0,39.8713569915292,0.100303988454816,9.20668380462727,313.97,4.13608181639847,0.067190699536777,0,0,"ECOSMOS",2,0,1,1,1,6.7190699536777,0,6.7190699536777,0,413.608181639847,0.753386796555896
"USNEME_Irrigated_2003",2003-05-29,16,2,0,38.8676700021897,0.999927042294301,1,0.5,0.5,0,0,0.0235178487983463,0,0,0,0,0.0177312835125396,0.940713951933853,0.940713951933853,0,0.0355719833414144,0.0176641698099489,0.0179078135314655,0.0171663457822633,0.0412491323108859,0.0363528614688749,3.41656321709799,4.41656321709799,75.1300000000004,89.6132388280008,0,65.219638465401,0.16428335702483,9.86272493573267,326.73,5.68310368991655,0.109479818655051,0,0,"ECOSMOS",2,0,1,1,1,10.9479818655051,0,10.9479818655051,0,568.310368991655,0.940713951933853
"USNEME_Irrigated_2003",2003-05-30,17,2,0,46.8296527737927,0.999849230445407,1,0.5,0.5,0,0,0.02949702735127,0,0,0,0,0.0239196678084134,1.1798810940508,1.1798810940508,0,0.0480406628538188,0.0238558086089169,0.0241848542449019,0.0231834874722224,0.0534166951596834,0.0490952541171509,3.85474661619344,4.85474661619344,90.3400000000004,102.823238828001,0,100.449641935428,0.253413441872447,10.6447300771208,341.94,7.6665601950043,0.167823192401867,0,0,"ECOSMOS",2,0,1,1,1,16.7823192401867,0,16.7823192401867,0,766.65601950043,1.1798810940508
"USNEME_Irrigated_2003",2003-05-31,18,3,0,43.3958187576599,0.999837147151374,1,0.5,0.5,0,0,0.0366504199683044,0,0,0,0,0.0313507198415446,1.46601679873218,1.46601679873218,0,0.0630392336611289,0.0313037290440537,0.0317355046170752,0.0304215053878073,0.068001139809849,0.0644230743726626,4.11986641985938,5.11986641985938,99.8500000000005,110.333238828001,0,123.527360113043,0.31193305180488,11.133676092545,351.450000000001,10.0483076415207,0.204517799337033,0,0,"ECOSMOS",3,0,1,1,1,20.4517799337033,0,20.4517799337033,0,1004.83076415207,1.46601679873218
"USNEME_Irrigated_2003",2003-06-01,19,3,0,47.8834396518219,0.999935942695125,1,0.5,0.5,0,0,0.0431162127010101,0,0,0,0,0.0381619677854939,1.7246485080404,1.7246485080404,0,0.0768804340053593,0.038176927845127,0.0387035061602322,0.0371009988776745,0.081278180486504,0.0785681175052715,4.42912049403732,5.42912049403732,111.160000000001,119.643238828001,0,153.703388867941,0.388577904152411,11.7151670951157,362.760000000001,12.2313999312481,0.252337722692931,0,0,"ECOSMOS",3,0,1,1,1,25.2337722692931,0,25.2337722692931,0,1223.13999312481,1.7246485080404
"USNEME_Irrigated_2003",2003-06-02,20,3,0,9.49102296203809,0.999952739913886,1,0.5,0.5,0,0,0.0501852094156459,0,0,0,0,0.0456423880468152,2.00740837662583,2.00740837662583,0,0.0921185237283024,0.0457437874678214,0.046374736260481,0.0444546039531792,0.0958275974624611,0.0941407146087764,4.54439223590785,5.54439223590785,115.470000000001,121.953238828001,0,164.187569411082,0.415263976666272,11.9367609254499,367.070000000001,14.6289705278254,0.265696460380121,0,0,"ECOSMOS",3,0,1,1,1,26.5696460380121,0,26.5696460380121,0,1462.89705278254,2.00740837662583
"USNEME_Irrigated_2003",2003-06-03,21,3,0,26.7426195830187,0.999911772484337,1,0.5,0.5,0,0,0.0509474220734766,0,0,0,0,0.0468041977696129,2.03789688293906,2.03789688293906,0,0.0948796551950049,0.0471148972714922,0.0477647579235127,0.0457870721783209,0.0977516198430895,0.0969624585847309,4.69985123568589,5.69985123568589,121.330000000001,125.813238828001,0,179.658102822906,0.45466166706375,12.2380462724936,372.930000000001,15.0013454389785,0.286981200303894,0,0,"ECOSMOS",3,0,1,1,1,28.6981200303894,0,28.6981200303894,0,1500.13454389785,2.03789688293906
"USNEME_Irrigated_2003",2003-06-04,22,3,0,45.2783063975299,0.999865777213203,1,0.5,0.5,0,0,0.0544498684768113,0,0,0,0,0.0507838107523454,2.17799473907245,2.17799473907245,0,0.103249594784811,0.0512712028897179,0.0519783918950933,0.0498262418753332,0.105233679229157,0.105516135547039,4.88381154240757,5.88381154240757,128.340000000001,139.21962966462,0,199.356281044009,0.504870206844667,12.5984575835476,379.940000000001,16.2768624206235,0.314657165307969,0,0,"ECOSMOS",3,0,1,1,1,31.4657165307969,0,31.4657165307969,0,1627.68624206235,2.17799473907245
"USNEME_Irrigated_2003",2003-06-05,23,3,0,40.8119265360716,0.999953489090951,1,0.5,0.5,0,0,0.0608276316687607,0,0,0,0,0.0577516003791952,2.43310526675043,2.43310526675043,0,0.117594757606162,0.0583946570304572,0.0592001005757048,0.0567489378332917,0.118579232047956,0.120176204168681,5.10691097066826,6.10691097066826,136.950000000001,145.82962966462,0,225.348509191673,0.571193771682373,13.0411311053985,388.550000000001,18.5101283266651,0.351952737922946,0,0,"ECOSMOS",3,0,1,1,1,35.1952737922946,0,35.1952737922946,0,1851.01283266651,2.43310526675043
