ID,LAT,LON,startY,startOfSimulation,endY,endOfSimulation,SOILID,StationID,Soil initial conditions,soilcspin,isimveg,isimfire,irrigate,P1,planting day,start year,plant population,row spacing,planting depth,cycle length,cycles,params
NES2_2001,41.1649,-96.4701,2001,130,2001,320,IBAFlUSNe2,USNEME2,0,0,1,0,0,maize,131,2001,8.24,75,5.1,194,1,Pn_33P67
NES2_2003,41.1649,-96.4701,2003,133,2003,320,IBAFlUSNe2,USNEME2,0,0,1,0,0,maize,134,2003,7.8,75,5.1,192,1,Pn_33B51
NES2_2005,41.1649,-96.4701,2005,121,2005,320,IBAFlUSNe2,USNEME2,0,0,1,0,0,maize,122,2005,7.63,75,5.1,198,1,Pn_33B51
NES2_2007,41.1649,-96.4701,2007,121,2007,320,IBAFlUSNe2,USNEME2,0,0,1,0,0,maize,122,2007,7.76,75,5.1,217,1,Pn_31N28
NES2_2009,41.1649,-96.4701,2009,110,2009,320,IBAFlUSNe2,USNEME2,0,0,1,0,0,maize,111,2009,7.65,75,5.1,233,1,Pn_32N72
NES2_2011,41.1649,-96.4701,2011,137,2011,320,IBAFlUSNe2,USNEME2,0,0,1,0,0,maize,138,2011,8.11,75,5.1,191,1,Pn_32T88
NES2_2013,41.1649,-96.4701,2013,119,2013,320,IBAFlUSNe2,USNEME2,0,0,1,0,0,maize,120,2013,7.89,75,5.1,205,1,DK_61_16
