ID,LAT,LON,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
sim6234,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,162,2006,874,1,eucalipto1
sim6278,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,76,2001,2152,1,eucalipto1
sim6294,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,182,1992,4624,1,eucalipto1
sim6296,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,69,2001,2159,1,eucalipto1
sim6298,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,182,1992,4625,1,eucalipto1
sim6299,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,182,1992,4625,1,eucalipto1
sim6300,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,182,1992,4625,1,eucalipto1
sim6302,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,196,1992,4611,1,eucalipto1
sim6303,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,182,1992,4625,1,eucalipto1
sim6304,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,182,1992,4625,1,eucalipto1
sim6305,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,182,1992,4625,1,eucalipto1
sim6368,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,67,2001,2161,1,eucalipto1
sim6388,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,351,2003,1945,1,eucalipto1
sim6389,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,102,2004,1829,1,eucalipto1
sim6390,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,331,2003,1965,1,eucalipto1
sim6396,-22.25,-47.25,CELATOMAG2,,1,1,0,0,eucalipto,324,2002,2002,1,eucalipto1
sim6397,-22.25,-47.25,CELATOMAG2,,1,1,0,0,eucalipto,344,2002,1982,1,eucalipto1
sim6402,-22.25,-46.75,CELATOMAG2,,1,1,0,0,eucalipto,195,2001,1906,1,eucalipto1
sim6407,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,5,1975,11651,1,eucalipto1
sim6408,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,98,2004,1833,1,eucalipto1
sim6411,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,323,2003,1973,1,eucalipto1
sim6416,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,102,2004,1829,1,eucalipto1
sim6417,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,341,2003,1955,1,eucalipto1
sim6456,-22.25,-48.25,CENEOSAFR2,,1,1,0,0,eucalipto,109,2004,1504,1,eucalipto1
sim6492,-21.75,-47.75,CELATOFRN3,,1,1,0,0,eucalipto,184,2001,2585,1,eucalipto1
sim6581,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,164,2006,840,1,eucalipto1
sim6583,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,204,2006,800,1,eucalipto1
sim6606,-22.25,-48.25,CENEOSAFR2,,1,1,0,0,eucalipto,126,2004,1487,1,eucalipto1
sim6607,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,134,2004,1479,1,eucalipto1
sim6626,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,102,2005,771,1,eucalipto1
sim6627,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,138,2005,721,1,eucalipto1
sim6629,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,18,2004,1480,1,eucalipto1
sim6678,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,170,2005,716,1,eucalipto1
sim6679,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,173,2005,712,1,eucalipto1
sim6680,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,173,2005,712,1,eucalipto1
sim6681,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,172,2005,713,1,eucalipto1
sim6682,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,166,2005,725,1,eucalipto1
sim6683,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,166,2005,720,1,eucalipto1
sim6684,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,163,2005,728,1,eucalipto1
sim6685,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,157,2005,734,1,eucalipto1
sim6686,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,158,2005,723,1,eucalipto1
sim6687,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,160,2005,724,1,eucalipto1
sim6688,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,159,2005,725,1,eucalipto1
sim6689,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,167,2005,719,1,eucalipto1
sim6690,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,165,2005,719,1,eucalipto1
sim6691,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,165,2005,719,1,eucalipto1
sim6692,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,158,2005,723,1,eucalipto1
sim6693,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,166,2005,725,1,eucalipto1
sim6694,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,163,2005,718,1,eucalipto1
sim6695,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,163,2005,728,1,eucalipto1
sim6696,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,166,2005,725,1,eucalipto1
sim6697,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,170,2005,714,1,eucalipto1
sim6698,-22.25,-46.75,CEARGIMAG3,,1,1,0,0,eucalipto,164,2005,720,1,eucalipto1
sim6700,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,171,2005,714,1,eucalipto1
sim6701,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,171,2005,714,1,eucalipto1
sim6702,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,171,2005,715,1,eucalipto1
sim6703,-22.25,-46.75,CELATOMAG3,,1,1,0,0,eucalipto,167,2005,719,1,eucalipto1
sim6707,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,262,1999,2234,1,eucalipto1
sim6708,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,265,1999,2231,1,eucalipto1
sim6714,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,197,2006,869,1,eucalipto1
sim6719,-21.75,-47.25,CELATOFRN3,,1,1,0,0,eucalipto,336,1999,2197,1,eucalipto1
sim6769,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,54,2005,1453,1,eucalipto1
sim6771,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,136,2005,1371,1,eucalipto1
sim6772,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,136,2005,1371,1,eucalipto1
sim6773,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,62,2005,1445,1,eucalipto1
