ID,LAT,LON,startY,startOfSimulation,endY,endOfSimulation,SOILID,StationID,Soil initial conditions,soilcspin,isimveg,isimfire,irrigate,P1,planting day,start year,plant population,row spacing,planting depth,cycle length,cycles,params
FZEA_Pasture_LowInput,-21.977738,-47.435375,2017,171,2018,278,FZEA_Forage2,BRSPPS,0,0,1,0,0,forage,171,2017,999,2,2,,1,B.brizantha1
FZEA_Pasture_Renewed,-21.977738,-47.435375,2019,171,2020,365,FZEA_Forage2,BRSPPS,0,0,1,0,0,forage,171,2019,999,2,2,,1,B.brizantha1
BRSPPI_MARANDU_28D_Irrigated,-22.708,-47.633,2011,1,2013,106,EBPI080100,BRSPPI_DSSAT,1,0,1,0,0,forage,1,2011,999,2,2,,1,B.brizantha1
BRSPPI_MARANDU_42D_Irrigated,-22.708,-47.633,2011,1,2013,106,EBPI080100,BRSPPI_DSSAT,1,0,1,0,0,forage,1,2011,999,2,2,,1,B.brizantha1
BRSPPI_MARANDU_28D_Rainfed,-22.708,-47.633,2011,1,2013,106,EBPI080100,BRSPPI_DSSAT,1,0,1,0,0,forage,1,2011,999,2,2,,1,B.brizantha1
BRSPPI_MARANDU_42D_Rainfed,-22.708,-47.633,2011,1,2013,106,EBPI080100,BRSPPI_DSSAT,1,0,1,0,0,forage,1,2011,999,2,2,,1,B.brizantha1
BRSPSC_Irrigated_2011-2012,-21.97,-47.9,2011,48,2012,201,EP00000001,BRSPSC,1,0,1,0,0,forage,49,2011,225,2,2,,1,B.brizantha1
BRSPSC_Rainfed_2011-2012,-21.97,-47.9,2011,48,2012,201,EP00000001,BRSPSC,1,0,1,0,0,forage,49,2011,225,2,2,,1,B.brizantha1
