ID,LAT,LON,startY,startOfSimulation,endY,endOfSimulation,SOILID,StationID,Soil initial conditions,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,plant population,row spacing,planting depth,cycle length,cycles,params
BRSPCI_Rainfed_2018-2019,-21.638,-51.915,2018,323,2019,131,IB00000008_CI,BRSPCI,0,1,1,0,0,soybean,324,2018,22,50,2.5,130,1,soybean1
BRSPCI_Rainfed_2019-2020,-21.638,-51.915,2019,341,2020,121,IB00000008_CI,BRSPCI,0,1,1,0,0,soybean,342,2019,22,50,2.5,120,1,soybean1
