ID,LAT,LON,startYear,endYear,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
BRSPCI_Rainfed_2018-2019,-21.638,-51.915,2018,2019,MANEOSFRN1,,0,1,0,0,soybean,324,2018,130,1,soybean1
BRSPCI_Rainfed_2019-2020,-21.638,-51.915,2019,2020,MANEOSFRN1,,0,1,0,0,soybean,342,2019,120,1,soybean1
