Ano;DOY;hhmm;resto_h;NEE;LE;H;Rg;PAR;Rn;  G;Rain;Tar;UR;Patm;Vh;Dir
2006;72;22.5;79200;5.7302;-17.62975;-28.543;-2.976;-0.075;-51.013;-4.84025;0;22.91;74.3;92.844;3.203;153.634
2006;72;23.5;82800;8.62963;-14.226;-27.763;-2.559;-0.068;-48.727;-6.738;0;21.89;79.74;92.86;2.881;159.044
2006;73;0.5;0;7.17887;-10.29775;-25.428;-2.514;-0.071;-43.487;-7.76125;0;20.95;83.13;92.869;2.949;194.323
2006;73;1.5;3600;8.0562;-14.45475;-27.086;-2.758;-0.072;-49.557;-8.01625;0;20.27;85.77;92.835;3.362;179.049
2006;73;2.5;7200;5.8642;-11.534;-27.188;-2.456;-0.073;-47.527;-8.805;0;19.52;89.7;92.803;3.035;171.61
2006;73;3.5;10800;8.5612;-15.60525;-18.574;-2.175;-0.073;-43.613;-9.43375;0;18.96;92.5;92.784;2.721;172.093
2006;73;4.5;14400;7.28105;-27.37575;-7.626;-2.202;-0.068;-44.753;-9.75125;0;19.5;90.77;92.781;2.644;145.279
2006;73;5.5;18000;8.43637;-22.9835;-16.594;-2.438;-0.072;-48.72;-9.1425;0;19.58;91.47;92.807;2.582;130.012
2006;73;6.5;21600;4.185;-4.68875;-36.619;4.119;12.612;-48.687;-7.37925;0;19.55;92.07;92.837;3.7;103.987
2006;73;7.5;25200;1.6447;86.4335;-5.737;182.367;337.5;75.353;-5.3435;0;19.76;91.93;92.897;2.752;120.104
2006;73;8.5;28800;-24.7833;197.95675;53.829;392.733;757.7;251.867;0.08125;0;21.78;85.27;92.944;3.357;106.257
2006;73;9.5;32400;-30.2065;408.05575;88.938;674.267;1359.333;501.4;4.40625;0;23.71;76.78;92.971;4.528;108.164
2006;73;10.5;36000;-28.6223;546.34275;91.333;838.667;1757.667;645.967;8.29125;0;24.92;73.8;92.991;3.664;106.303
2006;73;11.5;39600;-25.1605;428.15325;44.041;637.833;1334.667;479.633;7.43875;0;25.35;73.27;92.977;3.067;98.805
2006;73;12.5;43200;-37.2688;631.4215;139.393;984;2098.333;785.867;15.0525;0;26.64;69.94;92.906;2.756;100.116
2006;73;13.5;46800;-19.5807;359.66025;-22.564;484.267;1010.667;360.8;23.70375;0;26.29;70.07;92.815;3.007;110.154
