SOILID,SLB,SLCL,SLSI,SLLL,SDUL,SSAT,SSKS,BEXP,Bperm,AEP,SRGF,SBDM,SLOC,SLCF,SLDR,SLRO,PTF
Clay_Loam,0.15,0.34,0.34,0.197,0.318,0.464,2.3004,5.2,0.01,0.26,,,,,,,1
Clay_Loam,0.15,0.34,0.34,0.197,0.318,0.464,2.3004,5.2,0.01,0.26,,,,,,,1
Clay_Loam,0.3,0.34,0.34,0.197,0.318,0.464,2.3004,5.2,0.01,0.26,,,,,,,1
Clay_Loam,0.3,0.34,0.34,0.197,0.318,0.464,2.3004,5.2,0.01,0.26,,,,,,,1
Clay_Loam,0.6,0.34,0.34,0.197,0.318,0.464,2.3004,5.2,0.01,0.26,,,,,,,1
Clay_Loam,1,0.34,0.34,0.197,0.318,0.464,2.3004,5.2,0.01,0.26,,,,,,,1
Clay_Loam,2,0.34,0.34,0.197,0.318,0.464,2.3004,5.2,0.01,0.26,,,,,,,1
Silty_Clay_Loam,0.15,0.33,0.58,0.208,0.366,0.471,1.5012,6.6,0.01,0.33,,,,,,,1
Silty_Clay_Loam,0.15,0.33,0.58,0.208,0.366,0.471,1.5012,6.6,0.01,0.33,,,,,,,1
Silty_Clay_Loam,0.15,0.33,0.58,0.208,0.366,0.471,1.5012,6.6,0.01,0.33,,,,,,,1
Silty_Clay_Loam,0.15,0.33,0.58,0.208,0.366,0.471,1.5012,6.6,0.01,0.33,,,,,,,1
Silty_Clay_Loam,0.3,0.33,0.58,0.208,0.366,0.471,1.5012,6.6,0.01,0.33,,,,,,,1
Silty_Clay_Loam,0.3,0.33,0.58,0.208,0.366,0.471,1.5012,6.6,0.01,0.33,,,,,,,1
Silty_Clay_Loam,0.6,0.33,0.58,0.208,0.366,0.471,1.5012,6.6,0.01,0.33,,,,,,,1
Silty_Clay_Loam,1,0.33,0.58,0.208,0.366,0.471,1.5012,6.6,0.01,0.33,,,,,,,1
Silty_Clay_Loam,2,0.33,0.58,0.208,0.366,0.471,1.5012,6.6,0.01,0.33,,,,,,,1
Sandy_Clay,0.15,0.4,0.07,0.239,0.339,0.43,1.1988,6,0.01,0.29,,,,,,,1
Sandy_Clay,0.15,0.4,0.07,0.239,0.339,0.43,1.1988,6,0.01,0.29,,,,,,,1
Sandy_Clay,0.15,0.4,0.07,0.239,0.339,0.43,1.1988,6,0.01,0.29,,,,,,,1
Sandy_Clay,0.15,0.4,0.07,0.239,0.339,0.43,1.1988,6,0.01,0.29,,,,,,,1
Sandy_Clay,0.3,0.4,0.07,0.239,0.339,0.43,1.1988,6,0.01,0.29,,,,,,,1
Sandy_Clay,0.3,0.4,0.07,0.239,0.339,0.43,1.1988,6,0.01,0.29,,,,,,,1
Sandy_Clay,0.6,0.4,0.07,0.239,0.339,0.43,1.1988,6,0.01,0.29,,,,,,,1
Sandy_Clay,1,0.4,0.07,0.239,0.339,0.43,1.1988,6,0.01,0.29,,,,,,,1
Sandy_Clay,2,0.4,0.07,0.239,0.339,0.43,1.1988,6,0.01,0.29,,,,,,,1
Silty_Clay,0.15,0.45,0.45,0.25,0.387,0.479,0.9,7.9,0.01,0.34,,,,,,,1
Silty_Clay,0.15,0.45,0.45,0.25,0.387,0.479,0.9,7.9,0.01,0.34,,,,,,,1
Silty_Clay,0.15,0.45,0.45,0.25,0.387,0.479,0.9,7.9,0.01,0.34,,,,,,,1
Silty_Clay,0.15,0.45,0.45,0.25,0.387,0.479,0.9,7.9,0.01,0.34,,,,,,,1
Silty_Clay,0.3,0.45,0.45,0.25,0.387,0.479,0.9,7.9,0.01,0.34,,,,,,,1
Silty_Clay,0.3,0.45,0.45,0.25,0.387,0.479,0.9,7.9,0.01,0.34,,,,,,,1
Silty_Clay,0.6,0.45,0.45,0.25,0.387,0.479,0.9,7.9,0.01,0.34,,,,,,,1
Silty_Clay,1,0.45,0.45,0.25,0.387,0.479,0.9,7.9,0.01,0.34,,,,,,,1
Silty_Clay,2,0.45,0.45,0.25,0.387,0.479,0.9,7.9,0.01,0.34,,,,,,,1
Clay,0.15,0.6,0.2,0.272,0.396,0.475,0.6012,7.6,0.01,0.37,,,,,,,1
Clay,0.15,0.6,0.2,0.272,0.396,0.475,0.6012,7.6,0.01,0.37,,,,,,,1
Clay,0.15,0.6,0.2,0.272,0.396,0.475,0.6012,7.6,0.01,0.37,,,,,,,1
Clay,0.15,0.6,0.2,0.272,0.396,0.475,0.6012,7.6,0.01,0.37,,,,,,,1
Clay,0.3,0.6,0.2,0.272,0.396,0.475,0.6012,7.6,0.01,0.37,,,,,,,1
Clay,0.3,0.6,0.2,0.272,0.396,0.475,0.6012,7.6,0.01,0.37,,,,,,,1
Clay,0.6,0.6,0.2,0.272,0.396,0.475,0.6012,7.6,0.01,0.37,,,,,,,1
Clay,1,0.6,0.2,0.272,0.396,0.475,0.6012,7.6,0.01,0.37,,,,,,,1
Clay,2,0.6,0.2,0.272,0.396,0.475,0.6012,7.6,0.01,0.37,,,,,,,1
CENEOSFAR1,3,10.00526316,15.07105263,0.089753301,0.155409357,0.238990019,50,,,,1,1.223448421,1.168947368,24.35789474,0.9,73,1
CENEOSFAR1,9,10.58163283,14.77556241,0.096966111,0.162629895,0.242559195,50,,,,0.842105263,1.220750734,1.032351326,23.84283876,0.9,73,1
CENEOSFAR1,19,11.51211466,15.20495141,0.101958331,0.168494208,0.245794481,50,,,,0.8,1.222222271,0.876325787,23.69180683,0.9,73,1
CENEOSFAR1,28,12.28074922,15.700608,0.105555149,0.173789128,0.249462725,1,,,,0.478718952,1.222437813,0.76207952,23.42434526,0.9,73,1
CENEOSFAR1,38,12.72093353,16.11211493,0.107987906,0.176827026,0.252039025,1,,,,0.251835422,1.22205057,0.621974173,22.78926792,0.9,73,1
CENEOSFAR1,57,11.33130538,16.60286293,0.102399774,0.172249471,0.248583182,1,,,,0.154084245,1.217160199,0.524135249,23.80543198,0.9,73,1
CENEOSFAR1,76,11.46582864,15.10991522,0.099949092,0.165193686,0.240562055,1,,,,0.152716278,1.215748692,0.310571556,22.90930949,0.9,73,1
CENEOSFAR1,95,11.71776071,14.49072506,0.100943129,0.163621561,0.237606288,1,,,,0.086956522,1.209242466,0.244466475,23.34808927,0.9,73,1
CENEOSFAR1,171,11.71776071,14.49072506,0.100943129,0.163621561,0.237606288,1,,,,0.086956522,1.209242466,0.244466475,23.34808927,0.9,73,1
CENEOSARN1,3,4.151948052,3.105194805,0.042100835,0.085169942,0.132141268,50,,,,1,1.344016104,0.685584416,48.54935065,0.9,73,1
CENEOSARN1,11,4.312677446,3.151426583,0.042336638,0.085648867,0.132755941,50,,,,0.909090909,1.342657345,0.645415332,48.33983081,0.9,73,1
CENEOSARN1,23,4.596056752,2.99254553,0.042039373,0.085036837,0.131382394,50,,,,0.8,1.345099053,0.529739703,48.02536908,0.9,73,1
CENEOSARN1,35,4.86961256,2.945180074,0.042133594,0.08514836,0.13127892,1,,,,0.244696043,1.345849492,0.458849729,47.93583078,0.9,73,1
CENEOSARN1,46,5.180171454,2.849467401,0.042299749,0.085490735,0.13136542,1,,,,0.013888889,1.345134428,0.394247657,47.73645968,0.9,73,1
CENEOSARN1,70,5.45560945,2.826332197,0.042516687,0.085952414,0.132048841,1,,,,0.013888889,1.344417118,0.341391703,47.11363933,0.9,73,1
CENEOSARN1,93,5.859211894,2.669553392,0.042813783,0.086680447,0.132998943,1,,,,0,1.343878282,0.248974368,45.63935483,0.9,73,1
CENEOSARN1,117,6.012534095,3.028140275,0.042955359,0.087205464,0.131852848,1,,,,0,1.343874698,0.199702915,47.52272939,0.9,73,1
CENEOSARN1,213,6.012534095,3.028140275,0.042955359,0.087205464,0.131852848,1,,,,0,1.343874698,0.199702915,47.52272939,0.9,73,1
CENEOSAFR1,4,6.532394366,7.069014085,0.052297829,0.100713513,0.161168253,50,,,,1,1.313320563,0.777605634,42.98873239,0.9,73,1
CENEOSAFR1,12,6.865074144,7.137952597,0.053246891,0.101601877,0.16235793,50,,,,0.85915493,1.315178327,0.716337295,42.62027227,0.9,73,1
CENEOSAFR1,24,7.08744951,7.183862149,0.05470148,0.10265064,0.163124579,50,,,,0.8,1.318850691,0.627189115,41.99406355,0.9,73,1
CENEOSAFR1,36,7.202644659,7.073673465,0.054667973,0.102582753,0.162635765,1,,,,0.284688978,1.323526933,0.524465889,41.6972669,0.9,73,1
CENEOSAFR1,48,7.337898081,7.08694842,0.054816069,0.102921695,0.162899165,1,,,,0.052239852,1.327507854,0.39674495,41.23254917,0.9,73,1
CENEOSAFR1,73,7.808514518,6.979709101,0.055925303,0.104305995,0.165073857,1,,,,0.043126345,1.329940603,0.310730583,39.87683716,0.9,73,1
CENEOSAFR1,97,8.242863982,6.927809455,0.05720692,0.106125937,0.165806986,1,,,,0.024996105,1.332282279,0.214891574,39.56038979,0.9,73,1
CENEOSAFR1,121,8.645423968,6.254607628,0.057240741,0.104731424,0.162281923,1,,,,0.018867982,1.332836058,0.178984141,40.09586825,0.9,73,1
CENEOSAFR1,217,8.645423968,6.254607628,0.057240741,0.104731424,0.162281923,1,,,,0.018867982,1.332836058,0.178984141,40.09586825,0.9,73,1
CENEOSFSL1,3,21.4,50.2,0.179389372,0.366056509,0.476574778,50,,,,1,1.09158,2.002,4.4,0.9,73,1
CENEOSFSL1,11,19.47424431,51.69656315,0.168332234,0.353744768,0.461098337,50,,,,0.8,1.150210522,1.188474948,4.8,0.9,73,1
CENEOSFSL1,23,19.52801807,52.23381141,0.168113012,0.353999231,0.460604777,50,,,,0.8,1.157963362,1.07370288,4.854545455,0.9,73,1
CENEOSFSL1,34,20.04648569,53.37887156,0.169862717,0.357310388,0.462513542,50,,,,0.4,1.166034035,0.937943821,4.913286713,0.9,73,1
CENEOSFSL1,46,20.35476697,54.26703731,0.170698734,0.359220592,0.463287448,50,,,,0.4,1.174255341,0.80662203,4.972027972,0.9,73,1
CENEOSFSL1,69,21.02459573,54.78333873,0.172867928,0.359028427,0.460752509,50,,,,0.4,1.186600117,0.624982977,5.43513986,0.9,73,1
CENEOSFSL1,92,20.4446118,57.52063665,0.169099396,0.364015538,0.465463237,50,,,,0.161945574,1.20684032,0.29620264,4.795,0.9,73,1
CENEOSFSL1,115,18.17083333,57.17083333,0.167051057,0.361343224,0.460392468,50,,,,0.04,1.2144925,0.241041667,7.658333333,0.9,73,1
CENEOSFSL1,207,18.17083333,57.17083333,0.167051057,0.361343224,0.460392468,50,,,,0.04,1.2144925,0.241041667,7.658333333,0.9,73,1
CENEOSFRN1,2,17.04285714,34.22857143,0.141681469,0.262961038,0.36220124,50,,,,1,1.215965714,0.951428571,10.84285714,0.9,73,1
CENEOSFRN1,6,17.9,34.65714286,0.146424723,0.269107679,0.367450788,50,,,,1,1.219637143,0.915714286,10.41428571,0.9,73,1
CENEOSFRN1,13,18.07190476,35.05,0.147758294,0.271181825,0.369248495,50,,,,1,1.217953905,0.900590476,10.45666667,0.9,73,1
CENEOSFRN1,19,18.82040816,35.90068027,0.153464103,0.278312907,0.373552467,50,,,,0.8,1.211672245,0.809027211,10.77619048,0.9,73,1
CENEOSFRN1,26,19.37968254,36.7231746,0.157286338,0.283833469,0.377926374,50,,,,0.8,1.213636254,0.775933333,10.46634921,0.9,73,1
CENEOSFRN1,39,20.14335039,38.64407729,0.164140141,0.295885855,0.388461697,1,,,,0.142857143,1.211724622,0.743948487,10.23270286,0.9,73,1
CENEOSFRN1,52,19.49457944,43.66448598,0.164201675,0.309467514,0.405522446,1,,,,0,1.21330686,0.545411215,9.084672897,0.9,73,1
CENEOSFRN1,65,22.26495327,43.47383178,0.17587273,0.318709843,0.412465374,1,,,,0,1.201798318,0.571434579,6.256074766,0.9,73,1
CENEOSFRN1,117,22.26495327,43.47383178,0.17587273,0.318709843,0.412465374,1,,,,0,1.201798318,0.571434579,6.256074766,0.9,73,1
CENEOSFAA1,2,22.76153846,19.66923077,0.162332184,0.243463947,0.312582909,50,,,,1,1.193575385,1.393076923,22.85384615,0.9,73,1
CENEOSFAA1,6,22.84358974,19.63846154,0.162730587,0.243796722,0.31275897,50,,,,1,1.193007179,1.396666667,22.86410256,0.9,73,1
CENEOSFAA1,12,24.3,19.40769231,0.168936977,0.249407309,0.316047548,50,,,,1,1.190875385,1.266153846,21.91538462,0.9,73,1
CENEOSFAA1,18,25.4779286,20.02757707,0.17272746,0.25323779,0.318539545,50,,,,0.923076923,1.20211418,1.024476851,20.65727932,0.9,73,1
CENEOSFAA1,24,25.57926127,20.17547384,0.172840349,0.253507565,0.318902379,50,,,,0.8,1.204264698,0.973089226,20.3763023,0.9,73,1
CENEOSFAA1,36,26.87616622,19.92667079,0.176801982,0.256027137,0.319517101,50,,,,0.8,1.204971707,0.879626689,20.99577542,0.9,73,1
CENEOSFAA1,48,27.90371501,20.03457167,0.179795523,0.261521389,0.327164805,50,,,,0.8,1.201853657,0.814747279,16.28757179,0.9,73,1
CENEOSFAA1,61,29.88766751,16.76533362,0.177712942,0.25184363,0.313278266,1,,,,0.307157199,1.202637599,0.733955159,18.41050042,0.9,73,1
CENEOSFAA1,113,29.88766751,16.76533362,0.177712942,0.25184363,0.313278266,1,,,,0.307157199,1.202637599,0.733955159,18.41050042,0.9,73,1
CENEOSFAG1,1,35.01818182,36.95454545,0.239226761,0.368798508,0.453746534,50,,,,1,0.981594545,2.998181818,13.63636364,0.9,73,1
CENEOSFAG1,3,35.01818182,36.95454545,0.239226761,0.368798508,0.453746534,50,,,,1,0.981594545,2.998181818,13.63636364,0.9,73,1
CENEOSFAG1,7,35.12532468,37.06818182,0.239455284,0.369167985,0.454027314,50,,,,0.909090909,0.981702013,2.960681818,13.3538961,0.9,73,1
CENEOSFAG1,11,35.37662338,37.77272727,0.239347544,0.368555623,0.452104669,50,,,,0.818181818,0.992653247,2.6,12.05584416,0.9,73,1
CENEOSFAG1,15,34.83532468,35.59818182,0.233754756,0.352290039,0.430988703,50,,,,0.8,1.013714771,2.174848485,14.01116883,0.9,73,1
CENEOSFAG1,23,33.48181818,34.21818182,0.227313609,0.339268084,0.413921082,50,,,,0.8,1.034366926,1.724458874,15.48181818,0.9,73,1
CENEOSFAG1,30,34.44285714,32.99047619,0.22984056,0.336285043,0.410483879,50,,,,0.8,1.033230408,1.903197279,17.10714286,0.9,73,1
CENEOSFAG1,38,33.06923077,30.68923077,0.227161907,0.330434431,0.405693627,50,,,,0.8,1.064900769,1.491230769,12.11923077,0.9,73,1
CENEOSFAG1,70,33.06923077,30.68923077,0.227161907,0.330434431,0.405693627,50,,,,0.8,1.064900769,1.491230769,12.11923077,0.9,73,1
CENEOSMAG1,2,45.4,29.6,0.259321577,0.352730386,0.418929511,50,,,,1,1.04918,1.318,10,0.9,73,1
CENEOSMAG1,6,45.66433566,29.56083916,0.260153872,0.353314644,0.41943012,50,,,,1,1.047313986,1.310461538,9.833566434,0.9,73,1
CENEOSMAG1,13,45.83076923,28.47692308,0.26129389,0.349944786,0.41358118,50,,,,0.8,1.041935385,1.254307692,10.87692308,0.9,73,1
CENEOSMAG1,20,45.83076923,28.47692308,0.26129389,0.349944786,0.41358118,50,,,,0.8,1.041935385,1.254307692,10.87692308,0.9,73,1
CENEOSMAG1,27,46.29621098,29.47129668,0.263082233,0.353196415,0.417820575,50,,,,0.8,1.038937219,1.201105581,9.827382422,0.9,73,1
CENEOSMAG1,41,44.77682905,27.40613857,0.252599209,0.332948127,0.39440619,50,,,,0.382703449,1.073412665,0.791905365,11.55476053,0.9,73,1
CENEOSMAG1,55,50.58192788,27.53174277,0.270439876,0.346206515,0.405369715,1,,,,0.333333333,1.01594252,0.68627451,11.10228987,0.9,73,1
