Sand	Silt	Clay	Porosity	FC	WP	SHC
0.78	0.06	0.16	0.355	0.186	0.064	0.000133
0.76	0.06	0.18	0.355	0.186	0.064	0.000133
0.76	0.06	0.18	0.322	0.188	0.069	0.000158
0.74	0.06	0.2	0.317	0.19	0.073	0.000099
0.7	0.06	0.24	0.323	0.194	0.087	0.000099
0.7	0.06	0.24	0.34	0.2035	0.0995	0.00002
0.7	0.06	0.24	0.34	0.213	0.11	0.00002
0.7	0.06	0.24	0.34	0.201	0.108	0.00002
0.7	0.06	0.24	0.34	0.207	0.113	0.00002
0.7	0.06	0.24	0.34	0.217	0.124	0.00002
0.7	0.06	0.24	0.34	0.222	0.132	0.00002
