SID,BIOMA,ORDEM,TEXTURA,LAT,LON,SLDR,SLRO,SLB,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF
AMARGIAGS1,AMAZÔNIA,ARGISSOLO,Argilo-Siltosa,-6.222456452,-64.76356129,0.6,73,37,0.253327696,0.40276395,0.490925541,0.2,3.5,1.098399479,1.38689618,41.69093259,49.495298,1.862636476
AMARGIAGS1,AMAZÔNIA,ARGISSOLO,Argilo-Siltosa,-6.222456452,-64.76356129,0.6,73,49,0.26121103,0.394912309,0.478458878,0.2,3.5,1.100503745,1.061802965,44.85384331,47.01267747,1.654028158
AMARGIAGS1,AMAZÔNIA,ARGISSOLO,Argilo-Siltosa,-6.222456452,-64.76356129,0.6,73,74,0.269205932,0.385834667,0.464592154,0.2,3.5,1.102518799,0.688001856,48.30384746,44.44571349,1.45217877
AMARGIAGS1,AMAZÔNIA,ARGISSOLO,Argilo-Siltosa,-6.222456452,-64.76356129,0.6,73,99,0.274182736,0.380973311,0.45718744,0,3.5,1.101724844,0.509106764,50.34185783,42.92749429,1.309143287
AMARGIAGS1,AMAZÔNIA,ARGISSOLO,Argilo-Siltosa,-6.222456452,-64.76356129,0.6,73,124,0.273046441,0.376052839,0.450515409,0,3.5,1.110572254,0.303724175,50.313807,42.76398366,1.544904177
AMARGIFAR1,AMAZÔNIA,ARGISSOLO,Franco Arenosa,-5.289030216,-60.1685,0.6,73,3,0.070734533,0.131156053,0.199360507,0.7,5,1.280605755,1.493741007,9.061151079,11.7323741,43.08561151
AMARGIFAR1,AMAZÔNIA,ARGISSOLO,Franco Arenosa,-5.289030216,-60.1685,0.6,73,11,0.076137472,0.136611047,0.203948731,0.7,5,1.281471082,1.336131467,10.05983701,11.99220022,41.71900481
AMARGIFAR1,AMAZÔNIA,ARGISSOLO,Franco Arenosa,-5.289030216,-60.1685,0.6,73,22,0.085237754,0.1459507,0.212788022,0.7,5,1.280230079,1.124032254,11.89503432,12.43940161,39.55301333
AMARGIFAR1,AMAZÔNIA,ARGISSOLO,Franco Arenosa,-5.289030216,-60.1685,0.6,73,33,0.0916463,0.15073718,0.215877148,0.2,3.5,1.281081665,0.942928422,13.34776009,12.28641069,38.38306594
AMARGIFAR1,AMAZÔNIA,ARGISSOLO,Franco Arenosa,-5.289030216,-60.1685,0.6,73,44,0.098291983,0.15724688,0.220649156,0.2,3.5,1.280318616,0.781658287,14.83399796,12.49975389,37.22336935
AMARGIFAR1,AMAZÔNIA,ARGISSOLO,Franco Arenosa,-5.289030216,-60.1685,0.6,73,67,0.10717413,0.165494211,0.226270973,0.2,3.5,1.280549,0.550975479,16.79129668,12.56028824,35.66109897
AMARGIFAR1,AMAZÔNIA,ARGISSOLO,Franco Arenosa,-5.289030216,-60.1685,0.6,73,89,0.115970095,0.174209705,0.23332594,0,3.5,1.278816637,0.34331077,18.85657181,12.71164384,33.87147142
AMARGIFAR1,AMAZÔNIA,ARGISSOLO,Franco Arenosa,-5.289030216,-60.1685,0.6,73,112,0.120696649,0.178378644,0.23626715,0,3.5,1.27767646,0.280588926,19.74475337,13.17798559,35.37218188
AMARGIFAA1,AMAZÔNIA,ARGISSOLO,Fraco Argilo-Arenosa,-6.80616438,-60.13026544,0.6,73,3,0.10411141,0.17082684,0.238578463,0.7,5,1.242211451,1.696675462,14.04538259,14.82295515,39.06147757
AMARGIFAA1,AMAZÔNIA,ARGISSOLO,Fraco Argilo-Arenosa,-6.80616438,-60.13026544,0.6,73,11,0.118645088,0.18419984,0.248891263,0.7,5,1.238574172,1.397198917,17.30522238,14.83758873,36.37163892
AMARGIFAA1,AMAZÔNIA,ARGISSOLO,Fraco Argilo-Arenosa,-6.80616438,-60.13026544,0.6,73,23,0.133875489,0.198099555,0.260363465,0.2,3.5,1.230974752,1.17735642,20.80561865,14.85085041,33.92443197
AMARGIFAA1,AMAZÔNIA,ARGISSOLO,Fraco Argilo-Arenosa,-6.80616438,-60.13026544,0.6,73,35,0.145645457,0.20924477,0.269413772,0.2,3.5,1.225198366,0.992897649,23.53559086,14.87923262,32.1912308
AMARGIFAA1,AMAZÔNIA,ARGISSOLO,Fraco Argilo-Arenosa,-6.80616438,-60.13026544,0.6,73,46,0.15719302,0.219813524,0.277568739,0.2,3.5,1.220315506,0.792904918,26.30252232,14.76367851,30.55789867
AMARGIFAA1,AMAZÔNIA,ARGISSOLO,Fraco Argilo-Arenosa,-6.80616438,-60.13026544,0.6,73,70,0.168612501,0.230526429,0.286527467,0.2,3.5,1.214504783,0.617259499,29.05797802,14.70469893,28.63772965
AMARGIFAA1,AMAZÔNIA,ARGISSOLO,Fraco Argilo-Arenosa,-6.80616438,-60.13026544,0.6,73,93,0.182383236,0.243247181,0.296863991,0,3.5,1.208039982,0.380180099,32.32976843,14.62333629,26.37447205
AMARGIFAA1,AMAZÔNIA,ARGISSOLO,Fraco Argilo-Arenosa,-6.80616438,-60.13026544,0.6,73,117,0.179578058,0.23987897,0.293088439,0,3.5,1.215686654,0.314228178,31.65958726,14.89338066,27.50732385
AMARGIAGA1,AMAZÔNIA,ARGISSOLO,Argilo-Arenosa,-6.2695784,-58.7960824,0.6,73,4,0.126666348,0.186615017,0.242817074,0.7,5,1.21994736,1.64208,21.3448,11.6608,41.0552
AMARGIAGA1,AMAZÔNIA,ARGISSOLO,Argilo-Arenosa,-6.2695784,-58.7960824,0.6,73,12,0.148882739,0.207052196,0.261424175,0.7,5,1.203288295,1.327683464,27.20498751,10.89385781,36.43903421
AMARGIAGA1,AMAZÔNIA,ARGISSOLO,Argilo-Arenosa,-6.2695784,-58.7960824,0.6,73,24,0.171469842,0.228524742,0.281756971,0.2,3.5,1.183952043,1.071895961,33.18919071,10.63063351,32.38120133
AMARGIAGA1,AMAZÔNIA,ARGISSOLO,Argilo-Arenosa,-6.2695784,-58.7960824,0.6,73,36,0.180802088,0.237347343,0.289877879,0.2,3.5,1.1776859,0.917551833,35.70550753,10.55132807,30.61387189
AMARGIAGA1,AMAZÔNIA,ARGISSOLO,Argilo-Arenosa,-6.2695784,-58.7960824,0.6,73,48,0.189507151,0.245486428,0.297421522,0.2,3.5,1.171769769,0.7555886,38.25716665,10.40416085,28.74980486
AMARGIAGA1,AMAZÔNIA,ARGISSOLO,Argilo-Arenosa,-6.2695784,-58.7960824,0.6,73,72,0.199673995,0.255023855,0.306221361,0.2,3.5,1.163806108,0.584450917,41.26563953,10.28740916,26.77748839
AMARGIAGA1,AMAZÔNIA,ARGISSOLO,Argilo-Arenosa,-6.2695784,-58.7960824,0.6,73,96,0.210150736,0.265065825,0.315451404,0,3.5,1.158187011,0.378780442,44.41172163,10.09339914,24.62211141
AMARGIAGA1,AMAZÔNIA,ARGISSOLO,Argilo-Arenosa,-6.2695784,-58.7960824,0.6,73,120,0.209649668,0.264691367,0.31519503,0,3.5,1.163666469,0.281030079,43.78633365,10.50762073,24.42715493
AMARGIMAG1,AMAZÔNIA,ARGISSOLO,Argilosa,-6.176312255,-61.63077304,0.6,73,4,0.196385864,0.313593131,0.393504298,0.7,5,1.121089412,2.524877451,29.92745098,30.03088235,20.47843137
