ID;idpp;ndiasV6;ndiasR0;ndiasR4;ndiasR9;DVS;aroot;aleaf;astem;arepr;cbior;cbiol;cbios;cbiog;cbiop;LAI
3012004;1;1;0;0;0;0.00365162210035848;0.377648814098433;0.386099925190925;0.23625126082241;0;0;0.05;0;0;0;1.25
3012004;2;2;0;0;0;0.0109940748737217;0.372225843725952;0.387586538059914;0.240187618553566;0;0.0018135147456874;0.0518894025838941;0.00117086395566278;0;0;1.29723506459735
3012004;3;3;0;0;0;0.0203042782620327;0.365349537034578;0.389424910154306;0.245225553444859;0;0.00384617442867303;0.0540593597707619;0.00253731211608083;0;0;1.35148399426905
3012004;4;4;0;0;0;0.0318995601582922;0.356785522784178;0.391641555070157;0.25157292315476;0;0.00608366885016417;0.0565215011710221;0.00411888103098532;0;0;1.41303752927555
3012004;5;5;0;0;0;0.0423302388768847;0.349081658230769;0.393566440476916;0.257351902647406;0;0.00805141644562275;0.058748859975735;0.00557534420293844;0;0;1.46872149939337
3012004;6;6;0;0;0;0.0520352969682892;0.341913720742111;0.395298622674836;0.262787658267169;0;0.0102699987726134;0.0613256100365354;0.0072883228868397;0;0;1.53314025091338
3012004;7;7;0;0;0;0.0676328153386254;0.330393744704484;0.397963762691546;0.271642494831217;0;0.0125393089071751;0.0640742886646971;0.00916451863640549;0;0;1.60185721661743
3012004;8;8;0;0;0;0.0792840171466961;0.321788429265729;0.399859075573238;0.278352497805525;0;0.0147163628414036;0.0667983441791661;0.0110608058609141;0;0;1.66995860447915
3012004;9;9;0;0;0;0.0898114306800501;0.314013118555207;0.401501331233901;0.284485553240866;0;0.0162675528269977;0.0688037255741289;0.012481727763842;0;0;1.72009313935322
3012004;10;10;0;0;0;0.0978052788288118;0.308109042218468;0.40270380925297;0.289187151856624;0;0.0179156519012856;0.0709826407190866;0.0140464367395938;0;0;1.77456601797716
3012004;11;11;0;0;0;0.101963937640776;0.305037550412847;0.403314171597528;0.291648281474597;0;0.0194344065592494;0.073018141335564;0.0155183668093572;0;0;1.8254535333891
3012004;12;12;0;0;0;0.106856160755806;0.30142426452225;0.404018876024172;0.294556863124747;0;0.0212154452224387;0.075435655312829;0.0172808966711075;0;0;1.88589138282072
3012004;13;13;0;0;0;0.116600777242853;0.294227110092854;0.40537963358817;0.300393260366205;0;0.0230182368658883;0.0779533600834658;0.0191465590824054;0;0;1.94883400208664
3012004;14;14;0;0;0;0.125393587062521;0.287732938647054;0.406558437470592;0.305708628274832;0;0.0249630011111386;0.0807389213005554;0.0212411413617699;0;0;2.01847303251389
3012004;15;15;0;0;0;0.136610048730376;0.279448712491796;0.407994640645013;0.312556651704234;0;0.0263729977690328;0.0828391533631636;0.0228500877446266;0;0;2.07097883407909
3012004;16;16;0;0;0;0.14524237903675;0.273073067602835;0.409048408317623;0.317878529272031;0;0.0279033538713293;0.0851767110385679;0.0246666438803715;0;0;2.1294177759642
3012004;17;17;0;0;0;0.1514772455096;0.268468135545076;0.409781622627593;0.321750247277024;0;0.0292635666456687;0.0873013753774381;0.026334877004221;0;0;2.18253438443595
3012004;18;18;0;0;0;0.157070414007624;0.26433714716976;0.41041946909871;0.325243389414359;0;0.0307044512212736;0.08959027236588;0.0281487495677619;0;0;2.239756809147
3012004;19;19;0;0;0;0.166428728856425;0.257425306436443;0.411444595195335;0.33113010444621;0;0.0321730172614613;0.091993323500157;0.0300827221666848;0;0;2.29983308750393
3012004;20;20;0;0;0;0.17898755539146;0.248149639800943;0.412737493872888;0.339112872944457;0;0.0339655255660981;0.0950358463017561;0.0325825160152346;0;0;2.3758961575439
3012004;21;21;0;0;0;0.193190897400915;0.237659371046759;0.414085324727575;0.34825531146881;0;0.0354767640604573;0.0977361680378308;0.0348535488944639;0;0;2.44340420094577
3012004;22;22;0;0;0;0.205270555580463;0.228737607374676;0.415136103061253;0.356126297350175;0;0.0369562339676683;0.100494292288879;0.03721961768471;0;0;2.51235730722198
3012004;23;23;0;0;0;0.213251842847585;0.222842808222426;0.415782200853132;0.361374999075108;0;0.0387157382504964;0.10385563081118;0.0401411080777456;0;0;2.5963907702795
3012004;24;24;0;0;0;0.219410081003752;0.218294472114807;0.416254521346661;0.365451014973649;0;0.040358196318429;0.107071317889409;0.0429643233134012;0;0;2.67678294723523
3012004;25;25;0;0;0;0.226327499472378;0.213185422514176;0.416757854832207;0.370056731411541;0;0.0417070150295233;0.109797262176331;0.0453848032662856;0;0;2.74493155440829
3012004;26;26;0;0;0;0.233111027302933;0.208175261525541;0.41722348241808;0.374601265134235;0;0.0432697652077802;0.113023932682492;0.0482818474277836;0;0;2.82559831706231
3012004;27;27;0;0;0;0.241964247623455;0.201636472243381;0.417789523734682;0.380574013522368;0;0.0447772237739444;0.116248729396913;0.0512193883633009;0;0;2.90621823492283
3012004;28;28;0;0;0;0.255707976787059;0.191485663193304;0.418574803844502;0.389939543129911;0;0.0463516821950185;0.119801057748627;0.0545286971936276;0;0;2.99502644371569
3012004;29;29;0;0;0;0.272580847438184;0.179023740663588;0.419383445552253;0.40159282478985;0;0.0478413541218081;0.123413371503512;0.0579877733689903;0;0;3.0853342875878
3012004;30;30;0;0;0;0.288726424226001;0.167098981013166;0.419996834037599;0.412904196776147;0;0.0489874598250888;0.126429272814994;0.0609527440727028;0;0;3.16073182037484
3012004;31;31;0;0;0;0.301252523494238;0.157847486000378;0.420364656845984;0.421787869630715;0;0.0499600301556933;0.129165724559902;0.0636984605192094;0;0;3.22914311399755
